day,supply_ratio,price_index,lambda_multiplier,sink_boost,faucet_boost
0.000000,0.951269,0.999315,1.657501,1.000000,0.349997
0.041667,0.905409,0.997974,1.657501,1.000000,0.349997
0.083333,0.868749,0.996119,1.657501,1.000000,0.349997
0.125000,0.848285,0.993968,1.657501,1.000000,0.349997
0.166667,0.833495,0.991600,1.657501,1.000000,0.349997
0.208333,0.825242,0.989125,1.657501,1.000000,0.349997
0.250000,0.819240,0.986578,1.657501,1.000000,0.349997
0.291667,0.809035,0.983890,1.657502,1.000000,0.349997
0.333333,0.799611,0.981076,1.657502,1.000000,0.349997
0.375000,0.783335,0.978046,1.657502,1.000000,0.349997
0.416667,0.760545,0.974699,1.657502,1.000000,0.349997
0.458333,0.736683,0.971035,1.657502,1.000000,0.349997
0.500000,0.698349,0.966858,1.657502,1.000000,0.349997
0.541667,0.653918,0.962097,1.657502,1.000000,0.349997
0.583333,0.615343,0.957052,1.585641,0.915458,0.349997
0.625000,0.673932,0.954982,0.766609,0.028146,0.467846
0.666667,0.759502,0.953775,0.600000,0.028579,1.000000
0.708333,0.839981,0.952964,0.600000,0.029125,1.000000
0.750000,0.914425,0.952523,0.600000,0.029756,1.000000
0.791667,0.949515,0.952186,0.766069,0.030430,0.472357
0.833333,0.953130,0.951778,1.033713,0.266131,0.349997
0.875000,0.887619,0.950266,1.657502,1.000000,0.349997
0.916667,0.834655,0.948049,1.657502,1.000000,0.349997
0.958333,0.791713,0.945253,1.657502,1.000000,0.349997
1.000000,0.772092,0.942187,1.657502,1.000000,0.349997
1.041667,0.761059,0.938970,1.657502,1.000000,0.349997
1.083333,0.760991,0.935748,1.657502,1.000000,0.349997
1.125000,0.767289,0.932618,1.657502,1.000000,0.349997
1.166667,0.784581,0.929727,1.657502,1.000000,0.349997
1.208333,0.801215,0.927071,1.657502,1.000000,0.349997
1.250000,0.819297,0.924659,1.657502,1.000000,0.349997
1.291667,0.841058,0.922543,1.657502,1.000000,0.349997
1.333333,0.857903,0.920659,1.657502,1.000000,0.349997
1.375000,0.864071,0.918869,1.657502,1.000000,0.349997
1.416667,0.858610,0.917016,1.657502,1.000000,0.349997
1.458333,0.845175,0.914987,1.657502,1.000000,0.349997
1.500000,0.820528,0.912653,1.657502,1.000000,0.349997
1.541667,0.790711,0.909938,1.657502,1.000000,0.349997
1.583333,0.748732,0.906690,1.657502,1.000000,0.349997
1.625000,0.705060,0.902883,1.657502,1.000000,0.349997
1.666667,0.654489,0.898432,1.657502,1.000000,0.349997
1.708333,0.701425,0.896484,0.838574,0.036556,0.349997
1.750000,0.654520,0.892143,1.621096,0.957170,0.349997
1.791667,0.657708,0.888906,1.223136,0.488982,0.349997
1.833333,0.647657,0.885287,1.332197,0.617288,0.349997
1.875000,0.605041,0.880272,1.657502,1.000000,0.349997
